event_name	tweet_id	image_id	tweet_text	image	label	label_text	label_image	label_text_image
hurricane_harvey	907654309587779584	907654309587779584_0	After Harvey, Irma Leaves Its Own Trail of Destruction https://t.co/iOuBouqatw #metals https://t.co/cBdOnn1wz5	data_image/hurricane_harvey/12_9_2017/907654309587779584_0.jpg	other_relevant_information	other_relevant_information	other_relevant_information	Positive
hurricane_harvey	904545370549694464	904545370549694464_0	Harvey forces National Weather Service to add new color to its rainfall map https://t.co/pr7qt2whkq https://t.co/SUa4e0KmK8	data_image/hurricane_harvey/4_9_2017/904545370549694464_0.png	other_relevant_information	other_relevant_information	other_relevant_information	Positive
hurricane_harvey	905817543503437824	905817543503437824_0	#Hurrican #Harvey transposed over #Illinois to show widespread #heavyrain @watersurvey https://t.co/c2MPrmx1H8 https://t.co/xFVJ8G5lXt	data_image/hurricane_harvey/7_9_2017/905817543503437824_0.jpg	other_relevant_information	other_relevant_information	other_relevant_information	Positive
hurricane_harvey	907006307433148417	907006307433148417_0	Harvey bashes Texas coast, leaving homes damaged, residents injured &amp; without power https://t.co/PYtAkfXVXf https://t.co/AfvT7Dnw1j	data_image/hurricane_harvey/10_9_2017/907006307433148417_0.jpg	infrastructure_and_utility_damage	infrastructure_and_utility_damage	infrastructure_and_utility_damage	Positive
hurricane_maria	927758858776465408	927758858776465408_0	Guaynabo resident Efrain Diaz stands by a bridge washed out by rains carrying debris from Hurricane Maria. (CNN) https://t.co/M3aSh8qocx	data_image/hurricane_maria/7_11_2017/927758858776465408_0.jpg	infrastructure_and_utility_damage	infrastructure_and_utility_damage	infrastructure_and_utility_damage	Positive
hurricane_maria	913745586104528898	913745586104528898_0	Dawn just won $400 and we're gonna match the amount for Hurricane Maria Relief! https://t.co/Aa2AWFpBOH	data_image/hurricane_maria/29_9_2017/913745586104528898_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
hurricane_maria	916154437202096128	916154437202096128_0	So many faves on one track for Puerto Rico á¼Ÿ5á¼Ÿ7 #AlmostLikePraying #SupportPR https://t.co/6WyUqTBpwW	data_image/hurricane_maria/6_10_2017/916154437202096128_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
hurricane_maria	921538011514404865	921538011514404865_0	Puerto Rico power: Massive logistics challenge: The commander of the U.S. A.. #usa #news https://t.co/sVpxUAec71 https://t.co/AdSBBaeo2h	data_image/hurricane_maria/21_10_2017/921538011514404865_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
mexico_earthquake	910640199272747008	910640199272747008_0	Map of #2017PueblaMexicoEarthquake https://t.co/aQaxyH0eGh https://t.co/QG6WVPzKZe	data_image/mexico_earthquake/20_9_2017/910640199272747008_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
mexico_earthquake	912984452707500033	912984452707500033_0	#earthquake (GFZ): M 3.9, Gulf of Mexico https://t.co/lVNFB3eHge FORECAST: https://t.co/ifDmBMTwwF https://t.co/xnP2o3KrH5	data_image/mexico_earthquake/27_9_2017/912984452707500033_0.jpg	not_humanitarian	not_humanitarian	not_humanitarian	Positive
